Ship_Mode,Ship_Date,Ship_id
REGULAR AIR,20-10-2010,SHP_1
DELIVERY TRUCK,02-10-2012,SHP_2
REGULAR AIR,03-10-2012,SHP_3
REGULAR AIR,12-07-2011,SHP_4
REGULAR AIR,30-08-2010,SHP_5
REGULAR AIR,17-06-2011,SHP_6
REGULAR AIR,18-06-2011,SHP_7
EXPRESS AIR,25-03-2011,SHP_8
REGULAR AIR,26-02-2010,SHP_9
REGULAR AIR,24-11-2010,SHP_10
REGULAR AIR,09-06-2012,SHP_11
REGULAR AIR,10-06-2012,SHP_12
REGULAR AIR,04-08-2012,SHP_13
REGULAR AIR,31-05-2011,SHP_14
REGULAR AIR,26-11-2009,SHP_15
DELIVERY TRUCK,16-02-2012,SHP_16
REGULAR AIR,16-02-2012,SHP_17
REGULAR AIR,22-04-2012,SHP_18
REGULAR AIR,19-04-2012,SHP_19
EXPRESS AIR,14-03-2010,SHP_20
REGULAR AIR,14-03-2010,SHP_21
REGULAR AIR,11-03-2011,SHP_22
REGULAR AIR,14-03-2011,SHP_23
REGULAR AIR,06-08-2012,SHP_24
REGULAR AIR,07-05-2011,SHP_25
DELIVERY TRUCK,25-12-2010,SHP_26
REGULAR AIR,13-11-2010,SHP_27
REGULAR AIR,22-10-2012,SHP_28
REGULAR AIR,02-01-2011,SHP_29
REGULAR AIR,03-01-2011,SHP_30
REGULAR AIR,11-10-2011,SHP_31
REGULAR AIR,25-09-2010,SHP_32
DELIVERY TRUCK,19-07-2011,SHP_33
REGULAR AIR,09-10-2009,SHP_34
DELIVERY TRUCK,11-10-2009,SHP_35
REGULAR AIR,10-10-2009,SHP_36
DELIVERY TRUCK,11-12-2010,SHP_37
REGULAR AIR,10-10-2012,SHP_38
REGULAR AIR,03-05-2012,SHP_39
REGULAR AIR,08-03-2010,SHP_40
REGULAR AIR,30-05-2011,SHP_41
REGULAR AIR,21-09-2010,SHP_42
REGULAR AIR,01-09-2011,SHP_43
REGULAR AIR,02-09-2011,SHP_44
EXPRESS AIR,02-09-2011,SHP_45
REGULAR AIR,10-07-2011,SHP_46
REGULAR AIR,01-02-2009,SHP_47
REGULAR AIR,13-01-2012,SHP_48
REGULAR AIR,08-11-2010,SHP_49
REGULAR AIR,01-05-2010,SHP_50
REGULAR AIR,03-01-2012,SHP_51
REGULAR AIR,13-08-2009,SHP_52
REGULAR AIR,15-08-2009,SHP_53
REGULAR AIR,19-11-2011,SHP_54
REGULAR AIR,20-01-2012,SHP_55
REGULAR AIR,22-03-2009,SHP_56
REGULAR AIR,28-07-2012,SHP_57
EXPRESS AIR,25-07-2012,SHP_58
EXPRESS AIR,15-06-2012,SHP_59
REGULAR AIR,20-01-2009,SHP_60
EXPRESS AIR,08-06-2010,SHP_61
REGULAR AIR,19-02-2010,SHP_62
EXPRESS AIR,18-11-2011,SHP_63
DELIVERY TRUCK,18-11-2011,SHP_64
REGULAR AIR,18-11-2011,SHP_65
REGULAR AIR,11-08-2011,SHP_66
REGULAR AIR,09-06-2010,SHP_67
REGULAR AIR,17-10-2009,SHP_68
DELIVERY TRUCK,29-08-2011,SHP_69
EXPRESS AIR,01-10-2011,SHP_70
REGULAR AIR,30-09-2011,SHP_71
REGULAR AIR,08-05-2012,SHP_72
EXPRESS AIR,18-05-2011,SHP_73
REGULAR AIR,18-05-2011,SHP_74
REGULAR AIR,19-05-2011,SHP_75
REGULAR AIR,18-11-2009,SHP_76
EXPRESS AIR,12-10-2011,SHP_77
DELIVERY TRUCK,08-10-2012,SHP_78
EXPRESS AIR,08-10-2012,SHP_79
REGULAR AIR,07-10-2012,SHP_80
REGULAR AIR,16-08-2011,SHP_81
DELIVERY TRUCK,17-08-2011,SHP_82
REGULAR AIR,17-08-2011,SHP_83
